loc_rowid,pl_hostname,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_bmassj,st_dist,gaia_dist,st_teff,st_mass,pl_facility,,,,rowupdate
84,CoRoT-26,CoRoT-26 b,Transit,1,4.20474,0.0526,0.52,1670,,5590,1.09,CoRoT,,,,14-05-2014
85,CoRoT-27,CoRoT-27 b,Transit,1,3.57532,0.0476,10.39,1035.15,1035.15,5900,1.05,CoRoT,,,,14-05-2014
86,CoRoT-28,CoRoT-28 b,Transit,1,5.20851,0.0603,0.484,560,783.18,5150,1.01,CoRoT,,,,16-04-2015
87,CoRoT-29,CoRoT-29 b,Transit,1,2.85057,0.0386,0.85,765,822.62,5260,0.97,CoRoT,,,,16-04-2015
88,CoRoT-3,CoRoT-3 b,Transit,1,4.2568,,21.66,680,784.49,6740,1.37,CoRoT,,,,14-05-2014
89,CoRoT-4,CoRoT-4 b,Transit,1,9.20205,0.09,0.72,741.6,741.6,6190,1.16,CoRoT,,,,14-05-2014
90,CoRoT-5,CoRoT-5 b,Transit,1,4.0378962,0.04947,0.467,904.65,904.65,6100,1,CoRoT,,,,14-05-2014
91,CoRoT-6,CoRoT-6 b,Transit,1,8.886593,0.0855,2.96,657.24,657.24,6090,1.05,CoRoT,,,,14-05-2014
92,CoRoT-7,CoRoT-7 b,Transit,2,0.85359163,,0.01,160.64,160.64,5275,0.82,CoRoT,,,,06-12-2018
93,CoRoT-7,CoRoT-7 c,Radial Velocity,2,3.698,0.046,0.02643,160.64,160.64,5275,0.82,CoRoT,,,,10-09-2015
94,CoRoT-8,CoRoT-8 b,Transit,1,6.21229,0.063,0.22,380,325.03,5080,0.88,CoRoT,,,,14-05-2014
95,CoRoT-9,CoRoT-9 b,Transit,1,95.272656,0.4021,0.84,417.89,417.89,5625,0.96,CoRoT,,,,14-12-2017
96,CoRoTID 223977153,CoRoTID 223977153 b,Transit,1,6.71837,0.071,0.15,586.2,586.2,5970,1.08,CoRoT,,,,15-09-2017
97,DE CVn,DE CVn b,Eclipse Timing Variations,1,4098.1,5.75,12.0293,30.55,30.55,,0.51,Multiple Facilities,,,,11-07-2019
98,DENIS-P J082303.1-491201,DENIS-P J082303.1-491201 b,Astrometry,1,246.36,0.36,28.5,20.77,20.67,,0.07,Paranal Observatory,,,,14-05-2014
99,DH Tau,DH Tau b,Imaging,1,,330,11,140,135.35,,0.33,Subaru Telescope,,,,14-05-2014
100,DP Leo,DP Leo b,Eclipse Timing Variations,1,10220,8.19,6.05,305.06,305.06,13500,,Yunnan Astronomical Observatory,,,,14-05-2014
101,DS Tuc A,DS Tuc A b,Transit,1,8.138268,,,44.12,44.12,5428,1.01,Transiting Exoplanet Survey Satellite (TESS),,,,11-07-2019
102,EPIC 201238110,EPIC 201238110 b,Transit,1,28.1656,,,159.98,159.98,,0.41,K2,,,,13-06-2019
103,EPIC 201497682,EPIC 201497682 b,Transit,1,2.13174,,,254.88,254.88,,0.78,K2,,,,13-06-2019
104,K2-166,EPIC 201615463 c,Transit,2,3.80464,,,481,483.38,,1.07,K2,,,,13-06-2019
105,K2-16,EPIC 201754305 d,Transit,3,2.71578,,,338.19,338.19,,0.67,K2,,,,13-06-2019
106,K2-50,EPIC 201833600 c,Transit,2,3.96151,,,259.33,259.33,,0.61,K2,,,,13-06-2019
107,EPIC 201841433,EPIC 201841433 b,Transit,1,4.16959,,,441.94,441.94,,0.8,K2,,,,13-06-2019
108,K2-168,EPIC 205950854 c,Transit,2,8.050722,,,245.56,245.56,5502.7,0.88,K2,,,,15-08-2019
109,EPIC 206024342,EPIC 206024342 b,Transit,1,4.50756,,,373.81,373.81,,0.93,K2,,,,13-06-2019
110,EPIC 206032309,EPIC 206032309 b,Transit,1,2.87814,,,162.09,162.09,,0.22,K2,,,,13-06-2019
111,EPIC 206042996,EPIC 206042996 b,Transit,1,5.29711,,,457.27,457.27,,0.56,K2,,,,13-06-2019
112,EPIC 206215704,EPIC 206215704 b,Transit,1,2.25372,,,110.22,110.22,,0.41,K2,,,,13-06-2019
113,EPIC 206317286,EPIC 206317286 b,Transit,1,1.58252,,,317.2,317.2,,0.71,K2,,,,13-06-2019
114,EPIC 211822797,EPIC 211822797 b,Transit,1,21.169861,0.131,,187.19,187.19,4148.21,0.66,K2,,,,26-10-2017
115,EPIC 211945201,EPIC 211945201 b,Transit,1,19.49221,0.1493,,182.69,182.64,6069,1.17,K2,,,,26-10-2018
116,EPIC 212297394,EPIC 212297394 b,Transit,1,2.28943,,,423.35,423.35,,0.83,K2,,,,13-06-2019
117,EPIC 212424622,EPIC 212424622 b,Transit,1,18.0983,,,622.67,622.67,,1.11,K2,,,,13-06-2019
118,EPIC 212499991,EPIC 212499991 b,Transit,1,34.885,,,285.61,285.61,,0.91,K2,,,,13-06-2019
119,EPIC 212587672,EPIC 212587672 b,Transit,1,15.2841,,,322.88,322.88,,0.95,K2,,,,13-06-2019
120,EPIC 212737443,EPIC 212737443 b,Transit,2,13.603,0.098,,347.45,339.46,4684,0.69,K2,,,,25-07-2019
121,EPIC 212737443,EPIC 212737443 c,Transit,2,65.55,0.28,,347.45,339.46,4684,0.69,K2,,,,25-07-2019
122,K2-282,EPIC 220554210 c,Transit,2,0.70531,,,502.28,503.46,,0.94,K2,,,,13-06-2019
123,EPIC 220674823,EPIC 220674823 b,Transit,2,0.571331,0.0134,,246.1,246.29,5617,0.97,K2,,,,26-10-2018
124,EPIC 220674823,EPIC 220674823 c,Transit,2,13.339079,0.1091,,246.1,246.29,5617,0.97,K2,,,,26-10-2018
125,EPIC 246851721,EPIC 246851721 b,Transit,1,6.180235,0.07229,3,336.7,375.39,6202,1.32,K2,,,,26-10-2018
126,EPIC 248847494,EPIC 248847494 b,Transit,1,3650,4.5,13,560,560.71,4898,0.9,K2,,,,25-07-2019
127,FU Tau,FU Tau b,Imaging,1,,800,16,140,133.5,2838,0.05,Spitzer Space Telescope,,,,10-03-2016
128,Fomalhaut,Fomalhaut b,Imaging,1,555530,160,,7.7,,,1.92,Hubble Space Telescope,,,,19-11-2015
129,GJ 1132,GJ 1132 b,Transit,2,1.628931,0.0153,0.00522,12.62,12.62,3270,0.18,Cerro Tololo Inter-American Observatory,,,,21-06-2018
130,GJ 1132,GJ 1132 c,Transit,2,8.929,0.0476,0.00831,12.62,12.62,3270,0.18,La Silla Observatory,,,,21-06-2018
131,GJ 1148,GJ 1148 b,Radial Velocity,2,41.38,0.166,0.30425,11.02,11.02,3264,0.35,W. M. Keck Observatory,,,,19-10-2017
132,GJ 1148,GJ 1148 c,Radial Velocity,2,532.58,0.912,0.21414,11.02,11.02,3264,0.35,Calar Alto Observatory,,,,19-10-2017
133,GJ 1214,GJ 1214 b,Transit,1,1.58040456,0.01411,0.0197,14.65,14.65,3026,0.15,MEarth Project,,,,03-12-2015
134,GJ 1265,GJ 1265 b,Radial Velocity,1,3.6511,0.026,0.02328,10.26,10.26,3236,0.18,Calar Alto Observatory,,,,06-12-2018
135,GJ 143,GJ 143 b,Transit,2,35.61253,0.1915,0.07142,16.33,16.33,4640,0.73,Transiting Exoplanet Survey Satellite (TESS),,,,25-04-2019
136,GJ 163,GJ 163 b,Radial Velocity,3,8.63182,0.0607,0.03335,15.14,15.14,3500,0.4,La Silla Observatory,,,,26-01-2017
137,GJ 163,GJ 163 c,Radial Velocity,3,25.63058,0.1254,0.0214,15.14,15.14,3500,0.4,La Silla Observatory,,,,26-01-2017
138,GJ 163,GJ 163 d,Radial Velocity,3,603.95116,1.0304,0.0925,15.14,15.14,3500,0.4,La Silla Observatory,,,,26-01-2017
139,GJ 179,GJ 179 b,Radial Velocity,1,2288,2.41,0.82,12.36,12.36,3370,0.36,W. M. Keck Observatory,,,,14-05-2014
140,GJ 273,GJ 273 b,Radial Velocity,2,18.6498,0.091101,0.00909,3.8,,3382,0.29,La Silla Observatory,,,,30-03-2017
141,GJ 273,GJ 273 c,Radial Velocity,2,4.7234,0.036467,0.00371,3.8,,3382,0.29,La Silla Observatory,,,,30-03-2017
142,GJ 3021,GJ 3021 b,Radial Velocity,1,133.71,0.49,3.37,17.56,17.56,5540,0.9,La Silla Observatory,,,,14-05-2014
143,GJ 3138,GJ 3138 b,Radial Velocity,3,1.22003,0.0197,0.0056,28.49,28.49,3717,0.68,La Silla Observatory,,,,30-03-2017
144,GJ 3138,GJ 3138 c,Radial Velocity,3,5.974,0.057,0.01315,28.49,28.49,3717,0.68,La Silla Observatory,,,,30-03-2017
145,GJ 3138,GJ 3138 d,Radial Velocity,3,257.8,0.698,0.03304,28.49,28.49,3717,0.68,La Silla Observatory,,,,30-03-2017
